Year,State,District,target_yield,Season,Crop,yield,ndvi,rainfall,temperature
1977,Chhattisgarh,Surguja,882.72,,,,,,
1978,Chhattisgarh,Surguja,654.48,,,,,,
1979,Chhattisgarh,Surguja,255.77,,,,,,
1980,Chhattisgarh,Surguja,801.23,,,,,,
1981,Chhattisgarh,Surguja,698.31,,,,,,
1982,Chhattisgarh,Surguja,734.34,,,,,,
1983,Chhattisgarh,Surguja,678.38,,,,,,
1984,Chhattisgarh,Surguja,666.06,,,,,,
1985,Chhattisgarh,Surguja,757.81,,,,,,
1986,Chhattisgarh,Surguja,761.9,,,,,,
1987,Chhattisgarh,Surguja,692.98,,,,,,
1988,Chhattisgarh,Surguja,801.7,,,,,,
1989,Chhattisgarh,Surguja,952.73,,,,,,
1990,Chhattisgarh,Surguja,1189.35,,,,,,
1991,Chhattisgarh,Surguja,855.36,,,,,,
1992,Chhattisgarh,Surguja,694.48,,,,,,
1993,Chhattisgarh,Surguja,791.16,,,,,,
1994,Chhattisgarh,Surguja,1112.86,,,,,,
1995,Chhattisgarh,Surguja,880.39,,,,,,
1996,Chhattisgarh,Surguja,1056.14,,,,,,
1997,Chhattisgarh,Surguja,808.61,,,,,,
1998,Chhattisgarh,Surguja,731.07,,,,,,
1999,Chhattisgarh,Surguja,1136.67,,,,,,
2000,Chhattisgarh,Surguja,636.58,,,,,,
2001,Chhattisgarh,Surguja,1333.56,,,,,,
2002,Chhattisgarh,Surguja,680.51,,,,,,
2003,Chhattisgarh,Surguja,1311.14,,,,,,
2004,Chhattisgarh,Surguja,982.46,,,,,,
2005,Chhattisgarh,Surguja,982.46,,,,,,
2006,Chhattisgarh,Surguja,1054.18,,,,,,
2007,Chhattisgarh,Surguja,1143.27,,,,,,
2008,Chhattisgarh,Surguja,1176.01,,,,,,
2009,Chhattisgarh,Surguja,720.05,,,,,,
2010,Chhattisgarh,Surguja,1075.9,,,,,,
2011,Chhattisgarh,Surguja,1405.53,,,,,,
2012,Chhattisgarh,Surguja,1632.47,,,,,,
2013,Chhattisgarh,Surguja,1704.2,,,,,,
2014,Chhattisgarh,Surguja,1801.22,,,,,,
2015,Chhattisgarh,Surguja,1193.82,,,,,,
2016,Chhattisgarh,Surguja,1732.96,,,,,,
2017,Chhattisgarh,Surguja,1389.84,,,,,,
1966,Madhya Pradesh,Jabalpur,176.47,,,,,,
1967,Madhya Pradesh,Jabalpur,558.33,,,,,,
1968,Madhya Pradesh,Jabalpur,362.9,,,,,,
1969,Madhya Pradesh,Jabalpur,487.1,,,,,,
1970,Madhya Pradesh,Jabalpur,650.63,,,,,,
1971,Madhya Pradesh,Jabalpur,715.39,,,,,,
1972,Madhya Pradesh,Jabalpur,439.81,,,,,,
1973,Madhya Pradesh,Jabalpur,531.25,,,,,,
1974,Madhya Pradesh,Jabalpur,326.01,,,,,,
1975,Madhya Pradesh,Jabalpur,759.12,,,,,,
1976,Madhya Pradesh,Jabalpur,487.36,,,,,,
1977,Madhya Pradesh,Jabalpur,900.69,,,,,,
1978,Madhya Pradesh,Jabalpur,701.03,,,,,,
1979,Madhya Pradesh,Jabalpur,12.62,,,,,,
1980,Madhya Pradesh,Jabalpur,500.0,,,,,,
1981,Madhya Pradesh,Jabalpur,336.2,,,,,,
1982,Madhya Pradesh,Jabalpur,479.93,,,,,,
1983,Madhya Pradesh,Jabalpur,671.96,,,,,,
1984,Madhya Pradesh,Jabalpur,342.34,,,,,,
1985,Madhya Pradesh,Jabalpur,761.98,,,,,,
1986,Madhya Pradesh,Jabalpur,188.98,,,,,,
1987,Madhya Pradesh,Jabalpur,601.77,,,,,,
1988,Madhya Pradesh,Jabalpur,596.97,,,,,,
1989,Madhya Pradesh,Jabalpur,467.46,,,,,,
1990,Madhya Pradesh,Jabalpur,825.09,,,,,,
1991,Madhya Pradesh,Jabalpur,541.91,,,,,,
1992,Madhya Pradesh,Jabalpur,658.84,,,,,,
1993,Madhya Pradesh,Jabalpur,680.24,,,,,,
1994,Madhya Pradesh,Jabalpur,758.39,,,,,,
1995,Madhya Pradesh,Jabalpur,738.85,,,,,,
1996,Madhya Pradesh,Jabalpur,563.32,,,,,,
1997,Madhya Pradesh,Jabalpur,532.76,,,,,,
1998,Madhya Pradesh,Jabalpur,513.37,,,,,,
1999,Madhya Pradesh,Jabalpur,1052.82,,,,,,
2000,Madhya Pradesh,Jabalpur,438.22,,,,,,
2001,Madhya Pradesh,Jabalpur,839.03,,,,,,
2002,Madhya Pradesh,Jabalpur,567.31,,,,,,
2003,Madhya Pradesh,Jabalpur,978.11,,,,,,
2004,Madhya Pradesh,Jabalpur,901.95,,,,,,
2005,Madhya Pradesh,Jabalpur,863.52,,,,,,
2006,Madhya Pradesh,Jabalpur,598.1,,,,,,
2007,Madhya Pradesh,Jabalpur,347.98,,,,,,
2008,Madhya Pradesh,Jabalpur,598.33,,,,,,
2009,Madhya Pradesh,Jabalpur,582.84,,,,,,
2010,Madhya Pradesh,Jabalpur,1025.81,,,,,,
2011,Madhya Pradesh,Jabalpur,1297.59,,,,,,
2012,Madhya Pradesh,Jabalpur,1608.25,,,,,,
2013,Madhya Pradesh,Jabalpur,1931.0,,,,,,
2014,Madhya Pradesh,Jabalpur,1273.74,,,,,,
2015,Madhya Pradesh,Jabalpur,1120.3,,,,,,
2016,Madhya Pradesh,Jabalpur,2900.71,,,,,,
2017,Madhya Pradesh,Jabalpur,2503.19,,,,,,
1966,Madhya Pradesh,Balaghat,464.45,,,,,,
1967,Madhya Pradesh,Balaghat,924.88,,,,,,
1968,Madhya Pradesh,Balaghat,864.77,,,,,,
1969,Madhya Pradesh,Balaghat,1006.85,,,,,,
1970,Madhya Pradesh,Balaghat,1073.89,,,,,,
1971,Madhya Pradesh,Balaghat,1189.66,,,,,,
1972,Madhya Pradesh,Balaghat,621.14,,,,,,
1973,Madhya Pradesh,Balaghat,887.24,,,,,,
1974,Madhya Pradesh,Balaghat,496.84,,,,,,
1975,Madhya Pradesh,Balaghat,1027.2,,,,,,
1976,Madhya Pradesh,Balaghat,868.16,,,,,,
1977,Madhya Pradesh,Balaghat,1241.97,,,,,,
1978,Madhya Pradesh,Balaghat,1000.44,,,,,,
1979,Madhya Pradesh,Balaghat,447.67,,,,,,
1980,Madhya Pradesh,Balaghat,1404.08,,,,,,
1981,Madhya Pradesh,Balaghat,1237.72,,,,,,
1982,Madhya Pradesh,Balaghat,1015.99,,,,,,
1983,Madhya Pradesh,Balaghat,1227.87,,,,,,
1984,Madhya Pradesh,Balaghat,673.49,,,,,,
1985,Madhya Pradesh,Balaghat,1318.3,,,,,,
1986,Madhya Pradesh,Balaghat,1004.29,,,,,,
1987,Madhya Pradesh,Balaghat,1009.85,,,,,,
1988,Madhya Pradesh,Balaghat,1525.31,,,,,,
1989,Madhya Pradesh,Balaghat,940.19,,,,,,
1990,Madhya Pradesh,Balaghat,1257.3,,,,,,
1991,Madhya Pradesh,Balaghat,1009.31,,,,,,
1992,Madhya Pradesh,Balaghat,1110.83,,,,,,
1993,Madhya Pradesh,Balaghat,1240.48,,,,,,
1994,Madhya Pradesh,Balaghat,936.81,,,,,,
1995,Madhya Pradesh,Balaghat,1216.19,,,,,,
1996,Madhya Pradesh,Balaghat,1039.85,,,,,,
1997,Madhya Pradesh,Balaghat,1056.58,,,,,,
1998,Madhya Pradesh,Balaghat,1246.98,,,,,,
1999,Madhya Pradesh,Balaghat,1334.8,,,,,,
2000,Madhya Pradesh,Balaghat,849.15,,,,,,
2001,Madhya Pradesh,Balaghat,1435.67,,,,,,
2002,Madhya Pradesh,Balaghat,839.6,,,,,,
2003,Madhya Pradesh,Balaghat,1469.26,,,,,,
2004,Madhya Pradesh,Balaghat,1096.49,,,,,,
2005,Madhya Pradesh,Balaghat,1468.76,,,,,,
2006,Madhya Pradesh,Balaghat,1203.86,,,,,,
2007,Madhya Pradesh,Balaghat,935.83,,,,,,
2008,Madhya Pradesh,Balaghat,726.86,,,,,,
2009,Madhya Pradesh,Balaghat,1364.81,,,,,,
2010,Madhya Pradesh,Balaghat,1423.96,,,,,,
2011,Madhya Pradesh,Balaghat,1362.79,,,,,,
2012,Madhya Pradesh,Balaghat,1865.48,,,,,,
2013,Madhya Pradesh,Balaghat,1678.25,,,,,,
2014,Madhya Pradesh,Balaghat,1834.0,,,,,,
2015,Madhya Pradesh,Balaghat,1674.17,,,,,,
2016,Madhya Pradesh,Balaghat,2482.83,,,,,,
2017,Madhya Pradesh,Balaghat,1795.92,,,,,,
1966,Madhya Pradesh,Chhindwara,250.0,,,,,,
1967,Madhya Pradesh,Chhindwara,592.18,,,,,,
1968,Madhya Pradesh,Chhindwara,552.49,,,,,,
1969,Madhya Pradesh,Chhindwara,573.77,,,,,,
1970,Madhya Pradesh,Chhindwara,679.14,,,,,,
1971,Madhya Pradesh,Chhindwara,738.92,,,,,,
1972,Madhya Pradesh,Chhindwara,456.73,,,,,,
